,aX,aY,aZ,gX,gY,gZ
0,-9.256,-1.575,0.728,-0.037,0.057,0.028
1,-9.246,-1.58,0.737,-0.027,0.063,0.03
2,-9.242,-1.58,0.752,-0.017,0.07,0.032
3,-9.227,-1.571,0.757,-0.005,0.079,0.036
4,-9.222,-1.561,0.771,0.004,0.087,0.039
5,-9.222,-1.556,0.766,0.014,0.094,0.043
6,-9.203,-1.542,0.766,0.027,0.104,0.048
7,-9.199,-1.532,0.761,0.035,0.11,0.053
8,-9.194,-1.513,0.761,0.043,0.116,0.057
9,-9.184,-1.499,0.752,0.053,0.122,0.064
10,-9.175,-1.484,0.752,0.06,0.126,0.068
11,-9.165,-1.47,0.737,0.066,0.13,0.072
12,-9.165,-1.456,0.723,0.072,0.133,0.077
13,-9.165,-1.437,0.709,0.077,0.135,0.08
14,-9.16,-1.427,0.685,0.079,0.136,0.084
15,-9.155,-1.417,0.666,0.082,0.137,0.088
16,-9.155,-1.398,0.661,0.083,0.137,0.09
17,-9.155,-1.384,0.646,0.083,0.136,0.091
18,-9.146,-1.365,0.637,0.08,0.134,0.094
19,-9.146,-1.355,0.622,0.077,0.133,0.095
20,-9.141,-1.35,0.613,0.074,0.131,0.095
21,-9.141,-1.35,0.584,0.067,0.13,0.095
22,-9.155,-1.341,0.575,0.06,0.13,0.096
23,-9.17,-1.341,0.555,0.053,0.13,0.095
24,-9.189,-1.336,0.546,0.042,0.133,0.094
25,-9.199,-1.331,0.522,0.033,0.135,0.094
26,-9.218,-1.326,0.503,0.022,0.138,0.094
27,-9.251,-1.322,0.498,0.009,0.143,0.094
28,-9.275,-1.317,0.488,-0.002,0.148,0.093
29,-9.304,-1.312,0.503,-0.017,0.152,0.094
30,-9.337,-1.307,0.503,-0.029,0.155,0.096
31,-9.361,-1.298,0.508,-0.039,0.156,0.097
32,-9.385,-1.298,0.508,-0.053,0.156,0.098
33,-9.404,-1.293,0.517,-0.064,0.153,0.1
34,-9.424,-1.288,0.512,-0.074,0.149,0.102
35,-9.452,-1.283,0.503,-0.087,0.141,0.104
36,-9.471,-1.288,0.498,-0.097,0.133,0.106
37,-9.486,-1.288,0.498,-0.106,0.123,0.107
38,-9.505,-1.298,0.512,-0.118,0.109,0.109
39,-9.51,-1.298,0.508,-0.126,0.097,0.109
40,-9.51,-1.302,0.512,-0.135,0.085,0.11
41,-9.505,-1.307,0.512,-0.145,0.069,0.111
42,-9.5,-1.302,0.522,-0.153,0.057,0.111
43,-9.481,-1.307,0.517,-0.162,0.042,0.111
44,-9.457,-1.307,0.508,-0.17,0.031,0.111
45,-9.443,-1.307,0.508,-0.176,0.02,0.11
46,-9.414,-1.302,0.503,-0.183,0.007,0.109
47,-9.38,-1.302,0.493,-0.189,-0.003,0.108
48,-9.352,-1.293,0.479,-0.194,-0.011,0.107
49,-9.304,-1.283,0.479,-0.2,-0.021,0.106
50,-9.275,-1.283,0.474,-0.204,-0.027,0.104
51,-9.246,-1.283,0.484,-0.209,-0.033,0.102
52,-9.199,-1.283,0.474,-0.215,-0.038,0.099
53,-9.165,-1.279,0.464,-0.219,-0.04,0.097
54,-9.131,-1.283,0.441,-0.226,-0.041,0.093
55,-9.108,-1.283,0.431,-0.231,-0.039,0.091
56,-9.088,-1.288,0.426,-0.236,-0.037,0.088
57,-9.069,-1.288,0.421,-0.243,-0.032,0.085
58,-9.05,-1.293,0.417,-0.25,-0.027,0.084
59,-9.036,-1.293,0.417,-0.255,-0.022,0.082
60,-9.031,-1.298,0.421,-0.263,-0.014,0.079
61,-9.026,-1.298,0.417,-0.268,-0.008,0.078
62,-9.031,-1.302,0.412,-0.275,0.0,0.076
63,-9.031,-1.307,0.421,-0.28,0.006,0.076
64,-9.036,-1.302,0.426,-0.283,0.012,0.076
65,-9.041,-1.317,0.426,-0.288,0.018,0.077
66,-9.05,-1.326,0.441,-0.291,0.022,0.078
67,-9.064,-1.336,0.46,-0.293,0.025,0.08
68,-9.088,-1.341,0.479,-0.296,0.027,0.083
69,-9.088,-1.341,0.474,-0.296,0.028,0.085
70,-9.084,-1.346,0.479,-0.296,0.026,0.089
71,-9.064,-1.35,0.508,-0.293,0.021,0.093
72,-9.055,-1.35,0.532,-0.29,0.014,0.096
73,-9.036,-1.355,0.546,-0.286,0.005,0.1
74,-8.997,-1.35,0.584,-0.28,-0.012,0.106
75,-8.954,-1.341,0.603,-0.274,-0.026,0.109
76,-8.902,-1.331,0.632,-0.264,-0.048,0.113
77,-8.854,-1.317,0.646,-0.256,-0.066,0.115
78,-8.571,-1.274,0.694,-0.221,-0.149,0.122
79,-8.466,-1.255,0.713,-0.21,-0.172,0.122
80,-8.375,-1.235,0.718,-0.202,-0.189,0.122
81,-8.255,-1.202,0.728,-0.193,-0.209,0.12
82,-8.145,-1.188,0.733,-0.188,-0.223,0.119
83,-8.035,-1.164,0.747,-0.182,-0.235,0.118
84,-7.887,-1.135,0.737,-0.177,-0.249,0.115
85,-7.767,-1.116,0.733,-0.175,-0.258,0.113
86,-7.638,-1.087,0.728,-0.174,-0.267,0.111
87,-7.465,-1.053,0.728,-0.174,-0.277,0.108
88,-7.331,-1.025,0.728,-0.176,-0.286,0.106
89,-7.135,-0.986,0.728,-0.18,-0.3,0.104
90,-6.981,-0.953,0.733,-0.183,-0.312,0.103
91,-6.819,-0.919,0.737,-0.187,-0.327,0.102
