,aX,aY,aZ,gX,gY,gZ
0,-9.146,-0.608,1.738,0.348,0.248,-0.194
1,-9.151,-0.618,1.748,0.337,0.239,-0.197
2,-9.17,-0.627,1.748,0.327,0.231,-0.2
3,-9.184,-0.642,1.748,0.313,0.22,-0.202
4,-9.194,-0.651,1.748,0.302,0.212,-0.203
5,-9.203,-0.661,1.757,0.292,0.206,-0.205
6,-9.218,-0.675,1.772,0.278,0.198,-0.205
7,-9.213,-0.69,1.776,0.269,0.195,-0.205
8,-9.213,-0.704,1.772,0.26,0.192,-0.204
9,-9.213,-0.728,1.786,0.249,0.191,-0.203
10,-9.218,-0.752,1.786,0.241,0.192,-0.203
11,-9.218,-0.781,1.786,0.232,0.196,-0.201
12,-9.232,-0.804,1.805,0.227,0.2,-0.199
13,-9.232,-0.819,1.805,0.223,0.205,-0.198
14,-9.237,-0.848,1.805,0.218,0.213,-0.196
15,-9.232,-0.867,1.82,0.215,0.219,-0.195
16,-9.237,-0.886,1.829,0.214,0.226,-0.193
17,-9.237,-0.905,1.839,0.213,0.235,-0.191
18,-9.237,-0.924,1.844,0.212,0.242,-0.189
19,-9.242,-0.934,1.844,0.212,0.248,-0.187
20,-9.246,-0.958,1.844,0.214,0.255,-0.184
21,-9.251,-0.972,1.853,0.216,0.261,-0.183
22,-9.261,-0.991,1.858,0.218,0.265,-0.18
23,-9.27,-1.001,1.853,0.222,0.27,-0.177
24,-9.28,-1.015,1.848,0.225,0.272,-0.175
25,-9.28,-1.02,1.858,0.23,0.273,-0.17
26,-9.29,-1.025,1.848,0.234,0.274,-0.167
27,-9.285,-1.034,1.848,0.239,0.272,-0.163
28,-9.28,-1.034,1.829,0.246,0.268,-0.157
29,-9.27,-1.039,1.815,0.252,0.264,-0.153
30,-9.261,-1.039,1.81,0.257,0.259,-0.148
31,-9.237,-1.039,1.8,0.264,0.251,-0.142
32,-9.218,-1.034,1.8,0.27,0.246,-0.138
33,-9.203,-1.039,1.791,0.276,0.24,-0.134
34,-9.184,-1.03,1.776,0.283,0.234,-0.13
35,-9.175,-1.03,1.767,0.287,0.23,-0.126
36,-9.16,-1.034,1.757,0.292,0.229,-0.124
37,-9.131,-1.049,1.753,0.296,0.229,-0.121
38,-9.117,-1.053,1.738,0.298,0.231,-0.119
39,-9.112,-1.049,1.724,0.3,0.236,-0.117
40,-9.108,-1.049,1.714,0.302,0.245,-0.116
41,-9.103,-1.049,1.7,0.302,0.254,-0.114
42,-9.103,-1.053,1.681,0.301,0.267,-0.112
43,-9.103,-1.063,1.671,0.301,0.277,-0.11
44,-9.108,-1.063,1.671,0.301,0.288,-0.108
45,-9.117,-1.058,1.652,0.299,0.301,-0.105
46,-9.122,-1.053,1.642,0.298,0.31,-0.103
47,-9.131,-1.053,1.623,0.297,0.319,-0.101
48,-9.151,-1.049,1.599,0.296,0.327,-0.098
49,-9.17,-1.049,1.58,0.294,0.332,-0.095
50,-9.189,-1.053,1.556,0.294,0.336,-0.093
51,-9.218,-1.058,1.537,0.291,0.339,-0.09
52,-9.242,-1.058,1.518,0.289,0.339,-0.087
53,-9.275,-1.063,1.508,0.286,0.339,-0.085
54,-9.309,-1.068,1.484,0.282,0.338,-0.082
55,-9.337,-1.073,1.46,0.278,0.335,-0.079
56,-9.371,-1.077,1.437,0.273,0.331,-0.076
57,-9.395,-1.077,1.427,0.269,0.327,-0.073
58,-9.409,-1.077,1.427,0.264,0.322,-0.07
59,-9.424,-1.068,1.413,0.258,0.314,-0.067
60,-9.428,-1.058,1.398,0.253,0.307,-0.064
61,-9.438,-1.049,1.393,0.249,0.3,-0.061
62,-9.443,-1.044,1.374,0.244,0.29,-0.057
63,-9.457,-1.044,1.369,0.239,0.282,-0.055
64,-9.467,-1.039,1.36,0.234,0.272,-0.052
65,-9.462,-1.034,1.331,0.229,0.261,-0.05
66,-9.471,-1.034,1.317,0.225,0.252,-0.049
67,-9.481,-1.025,1.293,0.22,0.244,-0.048
68,-9.481,-1.02,1.279,0.213,0.235,-0.048
69,-9.486,-1.01,1.264,0.208,0.229,-0.049
70,-9.491,-1.01,1.245,0.199,0.223,-0.051
71,-9.495,-1.015,1.235,0.191,0.221,-0.054
72,-9.505,-1.01,1.221,0.184,0.221,-0.056
73,-9.515,-1.006,1.197,0.172,0.222,-0.06
74,-9.519,-1.006,1.188,0.163,0.225,-0.064
75,-9.553,-1.001,1.12,0.121,0.241,-0.08
76,-9.562,-0.996,1.116,0.112,0.243,-0.081
77,-9.577,-0.996,1.116,0.105,0.242,-0.084
78,-9.596,-0.996,1.12,0.096,0.24,-0.086
79,-9.601,-0.991,1.125,0.09,0.236,-0.088
80,-9.601,-0.982,1.125,0.084,0.229,-0.089
81,-9.601,-0.986,1.14,0.079,0.217,-0.09
82,-9.606,-0.986,1.144,0.075,0.207,-0.091
83,-9.606,-0.991,1.149,0.072,0.194,-0.092
84,-9.601,-0.996,1.149,0.069,0.178,-0.092
85,-9.591,-0.996,1.144,0.067,0.167,-0.093
86,-9.577,-1.001,1.154,0.065,0.155,-0.094
87,-9.572,-1.001,1.159,0.064,0.141,-0.096
88,-9.562,-1.006,1.159,0.063,0.132,-0.097
89,-9.548,-1.006,1.164,0.062,0.123,-0.099
90,-9.534,-1.001,1.164,0.061,0.117,-0.1
91,-9.519,-1.006,1.173,0.062,0.113,-0.101
92,-9.491,-1.006,1.183,0.063,0.109,-0.103
93,-9.476,-1.006,1.183,0.065,0.109,-0.104
94,-9.462,-1.015,1.188,0.067,0.109,-0.104
95,-9.438,-1.02,1.168,0.072,0.111,-0.105
96,-9.419,-1.02,1.178,0.076,0.114,-0.106
97,-9.409,-1.025,1.183,0.08,0.117,-0.108
98,-9.4,-1.025,1.202,0.086,0.124,-0.109
99,-9.4,-1.025,1.221,0.092,0.13,-0.11
100,-9.4,-1.034,1.211,0.096,0.136,-0.112
101,-9.39,-1.034,1.207,0.102,0.143,-0.113
102,-9.39,-1.034,1.211,0.106,0.149,-0.114
103,-9.38,-1.034,1.221,0.11,0.153,-0.115
104,-9.39,-1.034,1.221,0.115,0.158,-0.116
105,-9.39,-1.03,1.226,0.117,0.159,-0.115
106,-9.395,-1.03,1.245,0.122,0.159,-0.115
107,-9.395,-1.025,1.25,0.126,0.157,-0.115
108,-9.395,-1.02,1.259,0.128,0.154,-0.113
109,-9.39,-1.015,1.259,0.131,0.149,-0.111
110,-9.385,-1.015,1.269,0.134,0.142,-0.109
111,-9.38,-1.01,1.283,0.137,0.136,-0.107
112,-9.366,-1.006,1.307,0.14,0.125,-0.104
113,-9.352,-0.996,1.312,0.142,0.117,-0.1
114,-9.342,-0.991,1.317,0.146,0.109,-0.098
115,-9.337,-0.977,1.331,0.149,0.098,-0.095
116,-9.323,-0.977,1.336,0.151,0.091,-0.092
117,-9.309,-0.967,1.341,0.154,0.085,-0.09
118,-9.28,-0.972,1.346,0.156,0.08,-0.088
